metadata_filename,session,t_min,min_n_spikes,duration,count,mean,std,min,25%,50%,75%,max
spike_detector_Rp_layer_Rp_inh,02_noise,0,0,0,1597.0,1.0365184545516968,0.10271742939949036,0.6858670115470886,0.9711016416549683,1.025107741355896,1.08820378780365,1.637416958808899
spike_detector_Rp_layer_Rp_inh,02_noise,0,10,0,1587.0,1.0359859466552734,0.10064999759197235,0.6858670115470886,0.9711089134216309,1.0250862836837769,1.0872546434402466,1.637416958808899
spike_detector_Rp_layer_Rp_inh,02_noise,0,50,0,1451.0,1.0279866456985474,0.08430128544569016,0.7652341723442078,0.9704885482788086,1.0214252471923828,1.0780895948410034,1.379037618637085
spike_detector_Tp_layer_Tp_exc,02_noise,0,0,0,1600.0,0.8493966460227966,0.062275949865579605,0.6828128695487976,0.8087618052959442,0.8425544500350952,0.8795493245124817,1.1497026681900024
spike_detector_Tp_layer_Tp_exc,02_noise,0,10,0,1600.0,0.8493966460227966,0.062275949865579605,0.6828128695487976,0.8087618052959442,0.8425544500350952,0.8795493245124817,1.1497026681900024
spike_detector_Tp_layer_Tp_exc,02_noise,0,50,0,1597.0,0.849092423915863,0.061859048902988434,0.6828128695487976,0.8087005615234375,0.8424882292747498,0.879138708114624,1.1497026681900024
spike_detector_Tp_layer_Tp_inh,02_noise,0,0,0,1600.0,0.8490442633628845,0.0662299320101738,0.6144026517868042,0.8058406263589859,0.8402409851551056,0.8811363726854324,1.21505606174469
spike_detector_Tp_layer_Tp_inh,02_noise,0,10,0,1599.0,0.8489496111869812,0.0661422610282898,0.6144026517868042,0.805822491645813,0.8401748538017273,0.8811157941818237,1.21505606174469
spike_detector_Tp_layer_Tp_inh,02_noise,0,50,0,1596.0,0.8488627076148987,0.06616778671741486,0.6144026517868042,0.8056549429893494,0.8399637937545776,0.8810001611709595,1.21505606174469
spike_detector_Vp_L23_BC_P00_Vp_BC,02_noise,0,0,0,625.0,1.2734187841415405,0.1007479801774025,0.976489245891571,1.2046196460723877,1.283014178276062,1.3452484607696533,1.59638249874115
spike_detector_Vp_L23_BC_P00_Vp_BC,02_noise,0,10,0,625.0,1.2734187841415405,0.1007479801774025,0.976489245891571,1.2046196460723877,1.283014178276062,1.3452484607696533,1.59638249874115
spike_detector_Vp_L23_BC_P00_Vp_BC,02_noise,0,50,0,624.0,1.2738873958587646,0.10014473646879196,0.976489245891571,1.205479621887207,1.2830787897109985,1.3454453945159912,1.59638249874115
spike_detector_Vp_L23_PC_P00_Vp_PC,02_noise,0,0,0,1407.0,2.6498863697052,12.431025505065918,0.5541934967041016,1.1103096008300781,1.3560305833816528,1.8714649677276611,388.96405029296875
spike_detector_Vp_L23_PC_P00_Vp_PC,02_noise,0,10,0,273.0,1.1608635187149048,0.2571169137954712,0.6174271702766418,0.9840219020843506,1.1370019912719727,1.2951334714889526,2.3495571613311768
spike_detector_Vp_L23_PC_P00_Vp_PC,02_noise,0,50,0,3.0,1.2425438165664673,0.01891571655869484,1.2269937992095947,1.2320146560668945,1.2370353937149048,1.2503188848495483,1.263602375984192
spike_detector_Vp_L4_BC_P00_Vp_BC,02_noise,0,0,0,625.0,1.5380455255508423,0.23250094056129456,0.9705226421356201,1.3679858446121216,1.5488699674606323,1.7035810947418213,2.1816294193267822
spike_detector_Vp_L4_BC_P00_Vp_BC,02_noise,0,10,0,625.0,1.5380455255508423,0.23250094056129456,0.9705226421356201,1.3679858446121216,1.5488699674606323,1.7035810947418213,2.1816294193267822
spike_detector_Vp_L4_BC_P00_Vp_BC,02_noise,0,50,0,620.0,1.5410829782485962,0.23058533668518066,0.9705226421356201,1.3725143671035767,1.5512735843658447,1.7043954133987427,2.1816294193267822
spike_detector_Vp_L4_PC_P00_Vp_PC,02_noise,0,0,0,1611.0,1.7158212661743164,4.064908981323242,0.5776475071907043,1.125680923461914,1.2999300956726074,1.5759896039962769,134.92996215820312
spike_detector_Vp_L4_PC_P00_Vp_PC,02_noise,0,10,0,1010.0,1.29833984375,0.26448166370391846,0.5776475071907043,1.1242163181304932,1.2676278352737427,1.4285613298416138,2.743677854537964
spike_detector_Vp_L4_PC_P00_Vp_PC,02_noise,0,50,0,442.0,1.418410301208496,0.23457500338554382,0.8915051817893982,1.251816749572754,1.3842556476593018,1.5827062129974365,2.1718103885650635
spike_detector_Vp_L56_BC_P00_Vp_BC,02_noise,0,0,0,625.0,1.6194162368774414,0.23680329322814941,0.9198026061058044,1.445067286491394,1.6421387195587158,1.7988476753234863,2.1512508392333984
spike_detector_Vp_L56_BC_P00_Vp_BC,02_noise,0,10,0,625.0,1.6194162368774414,0.23680329322814941,0.9198026061058044,1.445067286491394,1.6421387195587158,1.7988476753234863,2.1512508392333984
spike_detector_Vp_L56_BC_P00_Vp_BC,02_noise,0,50,0,625.0,1.6194162368774414,0.23680329322814941,0.9198026061058044,1.445067286491394,1.6421387195587158,1.7988476753234863,2.1512508392333984
spike_detector_Vp_L56_PC_P00_Vp_PC,02_noise,0,0,0,1403.0,1.637764573097229,2.378981351852417,0.5559859871864319,1.0888692140579224,1.2649410963058472,1.5354361534118652,62.25577926635742
spike_detector_Vp_L56_PC_P00_Vp_PC,02_noise,0,10,0,787.0,1.2357295751571655,0.250651091337204,0.6208156943321228,1.0772716999053955,1.2175028324127197,1.3758264780044556,3.6362838745117188
spike_detector_Vp_L56_PC_P00_Vp_PC,02_noise,0,50,0,284.0,1.3304617404937744,0.19979636371135712,0.8140499591827393,1.187565565109253,1.3295207023620605,1.4621142148971558,1.8191887140274048
